approach,problem,exp_id,total_iters,total_time,total_model_time,total_eval_time,best_fitness,best_x
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772187435822808312757,500,1.7296905517578125,0.8029813766479492,0.9345121383666992,-69.81462860107422,"[np.float64(0.9983515998062328), np.float64(0.9762146456595812), np.float64(0.5893067636133066), np.float64(0.9836009911769117), np.float64(0.017029302690968806), np.float64(0.1483711906688726), np.float64(0.49838355637468146), np.float64(0.1786762559535061), np.float64(0.4452526917912718), np.float64(0.006530056797621642)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218743757957039895,500,1.824894905090332,0.806490421295166,1.0227925777435303,-70.16375732421875,"[np.float64(0.9263280816055227), np.float64(0.04357758170413817), np.float64(0.8871163502009463), np.float64(0.8081836269066809), np.float64(0.3919602494491773), np.float64(0.9130815237107374), np.float64(0.8011175877980291), np.float64(0.97156071215829), np.float64(0.24961658711077173), np.float64(0.23809020828797012)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218743942594158088,500,1.7456016540527344,0.8394191265106201,0.9136266708374023,-69.15371704101562,"[np.float64(0.07795384609371481), np.float64(0.15215462591437223), np.float64(0.0986510544313356), np.float64(0.8729194395539205), np.float64(0.3489246890846336), np.float64(0.9727161202319117), np.float64(0.7501786256758579), np.float64(0.4612828962531952), np.float64(0.9874601968886841), np.float64(0.4342978021387318)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),17721874411973522978,500,1.8231549263000488,0.8147900104522705,1.0256314277648926,-69.05238342285156,"[np.float64(0.660800447465663), np.float64(0.009471898498113807), np.float64(0.3876376973709045), np.float64(0.796665793937317), np.float64(0.342180405977069), np.float64(0.9972032193403012), np.float64(0.136190420712064), np.float64(0.4775433907693395), np.float64(0.6246542850153748), np.float64(0.9786863770692565)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772187443059605412803,500,1.7537767887115479,0.8469512462615967,0.9140622615814209,-65.73866271972656,"[np.float64(0.10391720788716297), np.float64(0.4026763855998051), np.float64(0.8791824064769466), np.float64(0.3811764236635389), np.float64(0.9045312442711698), np.float64(0.015743031531229357), np.float64(0.17129842910028703), np.float64(0.6181365874462742), np.float64(0.7373829735458302), np.float64(0.12304743409766472)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),17721874448500795263,500,1.804410696029663,0.8166608810424805,0.991931676864624,-68.48423767089844,"[np.float64(0.7811930015036931), np.float64(0.8922409655693515), np.float64(0.021326686513509885), np.float64(0.9597168712490572), np.float64(0.8497439842869609), np.float64(0.33793092553132764), np.float64(0.09521224871170175), np.float64(0.18748414756359044), np.float64(0.13358871146328832), np.float64(0.7735799995203604)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),17721874466788104965,500,1.683197021484375,0.8273577690124512,0.8722527027130127,-67.07798767089844,"[np.float64(0.7793280950247955), np.float64(0.7205075571217062), np.float64(0.19770947501491531), np.float64(0.44059229996958527), np.float64(0.3414588075219176), np.float64(0.9760538210847662), np.float64(0.4496071632409736), np.float64(0.42490962807359745), np.float64(0.04021354300635904), np.float64(0.927860898843973)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772187448398894815553,500,1.941272497177124,0.8653898239135742,1.0860068798065186,-68.78882598876953,"[np.float64(0.22007487580434104), np.float64(0.9548731027801024), np.float64(0.2855962941071596), np.float64(0.7558023089673153), np.float64(0.8362869789600985), np.float64(0.24782866171697215), np.float64(0.6952306870440161), np.float64(0.3819684422531334), np.float64(0.10033251805120946), np.float64(0.5598083258828873)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218745036953076357,500,1.9283907413482666,0.9158802032470703,1.0168793201446533,-69.28524780273438,"[np.float64(0.7865035813538032), np.float64(0.09701773761752186), np.float64(0.9657363925366576), np.float64(0.9395480448049406), np.float64(0.5582300964685284), np.float64(0.28295240522105336), np.float64(0.43675892169524255), np.float64(0.709375143351331), np.float64(0.3302527860909391), np.float64(0.0957668287485377)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772187452329099213654,500,2.093719244003296,1.0197625160217285,1.0874090194702148,-69.58070373535156,"[np.float64(0.78110546368625), np.float64(0.9132163949000883), np.float64(0.9590697242866967), np.float64(0.0745074083448084), np.float64(0.689141363933363), np.float64(0.007299777019071807), np.float64(0.16420632776895516), np.float64(0.010905167880999045), np.float64(0.4325736780839784), np.float64(0.7824785969636575)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218745445961075723,500,2.035712480545044,0.956998348236084,1.0838751792907715,-67.2186050415039,"[np.float64(0.41042192426760093), np.float64(0.06663161102687332), np.float64(0.6369281650205211), np.float64(0.6548835574045532), np.float64(0.9425202107968061), np.float64(0.2981332526809266), np.float64(0.002876807970139228), np.float64(0.8409475748125143), np.float64(0.17728269044896117), np.float64(0.8519544104547384)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218745652519584164,500,2.021498203277588,1.0084338188171387,1.022059679031372,-70.44044494628906,"[np.float64(0.7223846379392199), np.float64(0.9259268541634652), np.float64(0.06663061307899709), np.float64(0.4592757618649579), np.float64(0.7651232650024526), np.float64(0.3769002179192794), np.float64(0.0009881434723061355), np.float64(0.3204747583805132), np.float64(0.8820245460775488), np.float64(0.028634054386432184)]"
